FORM,GLOTTOCODE,SoundClasses,SegmentCount,EMOTION
wɐχle,afar1241,waXle,5,LEXICON
wɐχite,afar1241,waXite,6,LEXICON
kibime,afar1241,kibime,6,LEXICON
migit,afar1241,migit,5,LEXICON
χusbɐ,afar1241,Xusba,5,LEXICON
meχe,afar1241,meXe,4,LEXICON
mɐrojtɐ,afar1241,maroyta,7,LEXICON
kɐfe,afar1241,kafe,4,LEXICON
migɐχ,afar1241,migaX,5,LEXICON
migɐχɐ,afar1241,migaXa,6,LEXICON
wi,agua1253,wi,2,LEXICON
ɐmẽ,agua1253,ame,3,LEXICON
ii,agua1253,ii,2,LEXICON
hũ,agua1253,hu,2,LEXICON
hũhũ,agua1253,huhu,4,LEXICON
ɐu,agua1253,au,2,LEXICON
ɐwĩjɐ̃,agua1253,awiya,5,LEXICON
jɐki,agua1253,yaki,4,LEXICON
jɐ,agua1253,ya,2,LEXICON
wɐ̃hĩ,agua1253,wahi,4,LEXICON
ɐt͡sɐ,agua1253,aca,3,LEXICON
ɐʃi,agua1253,aSi,3,LEXICON
bɐkit͡ʃik,agua1253,bakiCik,7,LEXICON
himɐn,agua1253,himan,5,LEXICON
mun,agua1253,mun,3,LEXICON
esɐhɐm,agua1253,esaham,6,LEXICON
mɐnt͡ʃut͡ʃ,agua1253,manCuC,6,LEXICON
pipit͡ʃ,agua1253,pipiC,5,LEXICON
nũwɐ,agua1253,nuwa,4,LEXICON
ɐiʃmɐn,agua1253,aiSman,6,LEXICON
ɐent͡s,agua1253,aenc,4,LEXICON
nɐmɐk,agua1253,namak,5,LEXICON
t͡ʃinki,agua1253,Cinki,5,LEXICON
jɐ̃wɐ̃,agua1253,yawa,4,LEXICON
temɐ,agua1253,tema,4,LEXICON
numi,agua1253,numi,4,LEXICON
ɐhɐ̃k,agua1253,ahak,4,LEXICON
dukɐ,agua1253,duka,4,LEXICON
kɐnkɐp,agua1253,kankap,6,LEXICON
sɐepẽ,agua1253,saepe,5,LEXICON
duwɐp,agua1253,duwap,5,LEXICON
nẽhẽ,agua1253,nehe,4,LEXICON
numpɐ,agua1253,numpa,5,LEXICON
ukunt͡ʃ,agua1253,ukunC,5,LEXICON
kuntuhɐ̃m,agua1253,kuntuham,8,LEXICON
nuhin,agua1253,nuhin,5,LEXICON
kɐt͡ʃu,agua1253,kaCu,4,LEXICON
uhuk,agua1253,uhuk,4,LEXICON
ũhẽ,agua1253,uhe,3,LEXICON
intɐʃ,agua1253,intaS,5,LEXICON
buk,agua1253,buk,3,LEXICON
kuwiʃ,agua1253,kuwiS,5,LEXICON
hi,agua1253,hi,2,LEXICON
nuhĩ,agua1253,nuhi,4,LEXICON
wenu,agua1253,wenu,4,LEXICON
dɐi,agua1253,dai,3,LEXICON
idɐi,agua1253,idai,4,LEXICON
nɐnt͡ʃik,agua1253,nanCik,6,LEXICON
dɐwe,agua1253,dawe,4,LEXICON
tikiʃ,agua1253,tikiS,5,LEXICON
uweh,agua1253,uweh,4,LEXICON
kuntuh,agua1253,kuntuh,6,LEXICON
pihɐn,agua1253,pihan,5,LEXICON
ɐnentɐi,agua1253,anentai,7,LEXICON
ɐkɐp,agua1253,akap,4,LEXICON
umu,agua1253,umu,3,LEXICON
ju,agua1253,yu,2,LEXICON
esɐ,agua1253,esa,3,LEXICON
wɐinɐ,agua1253,waina,5,LEXICON
di,agua1253,di,2,LEXICON
ɐn,agua1253,an,2,LEXICON
dekɐ,agua1253,deka,4,LEXICON
jɐt͡ʃɐmẽɐ,agua1253,yaCamea,7,LEXICON
kɐnu,agua1253,kanu,4,LEXICON
hɐ,agua1253,ha,2,LEXICON
mou,agua1253,mou,3,LEXICON
jukumɐ,agua1253,yukuma,6,LEXICON
nɐnɐmɐ,agua1253,nanama,6,LEXICON
wekɐgɐ,agua1253,wekaga,6,LEXICON
tɐn,agua1253,tan,3,LEXICON
mini,agua1253,mini,4,LEXICON
tepe,agua1253,tepe,4,LEXICON
ekemɐ,agua1253,ekema,5,LEXICON
su,agua1253,su,2,LEXICON
ɐmɐ,agua1253,ama,3,LEXICON
tu,agua1253,tu,2,LEXICON
et͡sɐ̃,agua1253,eca,3,LEXICON
nɐntu,agua1253,nantu,5,LEXICON
jɐjɐ,agua1253,yaya,4,LEXICON
jumi,agua1253,yumi,4,LEXICON
jumi,agua1253,yumi,4,LEXICON
kɐjɐ,agua1253,kaya,4,LEXICON
kɐjɐm,agua1253,kayam,5,LEXICON
nunkɐ,agua1253,nunka,5,LEXICON
juhɐnkim,agua1253,yuhankim,8,LEXICON
bukuitut,agua1253,bukuitut,8,LEXICON
hi,agua1253,hi,2,LEXICON
jukũ,agua1253,yuku,4,LEXICON
kɐpou,agua1253,kapou,5,LEXICON
ɐese,agua1253,aese,4,LEXICON
hintɐ,agua1253,hinta,5,LEXICON
muhɐt͡sɐkɐhu,agua1253,muhacakahu,10,LEXICON
ikɐm,agua1253,ikam,4,LEXICON
kɐpɐntu,agua1253,kapantu,7,LEXICON
dɐgɐn,agua1253,dagan,5,LEXICON
sɐmekbou,agua1253,samekbou,8,LEXICON
jɐnku,agua1253,yanku,5,LEXICON
puhuptin,agua1253,puhuptin,8,LEXICON
put͡su,agua1253,pucu,4,LEXICON
ʃuwin,agua1253,Suwin,5,LEXICON
bukuseɐ,agua1253,bukusea,7,LEXICON
kɐʃi,agua1253,kaSi,4,LEXICON
nimpɐhũ,agua1253,nimpahu,7,LEXICON
nimpɐin,agua1253,nimpain,7,LEXICON
t͡set͡sek,agua1253,cecek,5,LEXICON
pijɐku,agua1253,piyaku,6,LEXICON
bete,agua1253,bete,4,LEXICON
jɐmɐhɐm,agua1253,yamaham,7,LEXICON
penkeg,agua1253,penkeg,6,LEXICON
esekou,agua1253,esekou,6,LEXICON
sukunmou,agua1253,sukunmou,8,LEXICON
buku,agua1253,buku,4,LEXICON
dɐhĩ,agua1253,dahi,4,LEXICON
wi,agua1253,wi,2,LEXICON
ɐmə,agua1253,am3,3,LEXICON
i,agua1253,i,1,LEXICON
bɐkit͡ʃik,agua1253,bakiCik,7,LEXICON
ximɐŋ,agua1253,ximaN,5,LEXICON
ɐənt͡s,agua1253,a3nc,4,LEXICON
nɐmɐk,agua1253,namak,5,LEXICON
nɐmɐkɐ,agua1253,namaka,6,LEXICON
jɐwɐ,agua1253,yawa,4,LEXICON
təmɐ,agua1253,t3ma,4,LEXICON
dukɐ,agua1253,duka,4,LEXICON
duwɐp,agua1253,duwap,5,LEXICON
numpɐ,agua1253,numpa,5,LEXICON
ukunt͡ʃi,agua1253,ukunCi,6,LEXICON
kuwiʃ,agua1253,kuwiS,5,LEXICON
xi,agua1253,xi,2,LEXICON
duxi,agua1253,duxi,4,LEXICON
nixi,agua1253,nixi,4,LEXICON
dɐi,agua1253,dai,3,LEXICON
idɐi,agua1253,idai,4,LEXICON
uwəx,agua1253,uw3x,4,LEXICON
dətsəp,agua1253,d3ts3p,6,LEXICON
munt͡su,agua1253,muncu,5,LEXICON
ɐkɐp,agua1253,akap,4,LEXICON
umut,agua1253,umut,4,LEXICON
dit,agua1253,dit,3,LEXICON
ɐntut,agua1253,antut,5,LEXICON
bəsət,agua1253,b3s3t,5,LEXICON
minit,agua1253,minit,5,LEXICON
tɐt,agua1253,tat,3,LEXICON
jɐjɐ,agua1253,yaya,4,LEXICON
jumi,agua1253,yumi,4,LEXICON
kɐjɐ,agua1253,kaya,4,LEXICON
xi,agua1253,xi,2,LEXICON
xintɐ,agua1253,xinta,5,LEXICON
kɐʃi,agua1253,kaSi,4,LEXICON
jɐmɐxɐm,agua1253,yamaxam,7,LEXICON
dɐ,agua1253,da,2,LEXICON
nɐ,agua1253,na,2,LEXICON
bi,manc1252,bi,2,LEXICON
be,manc1252,be,2,LEXICON
ʃi,manc1252,Si,2,LEXICON
bo,manc1252,bo,2,LEXICON
mo,manc1252,mo,2,LEXICON
əmkəŋ,manc1252,3mk3N,5,LEXICON
əmkən,manc1252,3mk3n,5,LEXICON
d͡ʒo,manc1252,jo,2,LEXICON
d͡ʒi,manc1252,ji,2,LEXICON
niɐmɐ,manc1252,niama,5,LEXICON
nimɐxɐ,manc1252,nimaxa,6,LEXICON
inoxo,manc1252,inoxo,5,LEXICON
fodoχoŋ,manc1252,fodoXoN,7,LEXICON
ɐbdɐxɐ,manc1252,abdaxa,6,LEXICON
