FORM,GLOTTOCODE,SoundClasses,SegmentCount,EMOTION
ke,diri1252,ke,2,LEXICON
kôʝa,diri1252,koZa,4,LEXICON
d͡ʒira,diri1252,jira,4,LEXICON
feta,diri1252,feta,4,LEXICON
futa,diri1252,futa,4,LEXICON
ʃenda,diri1252,Senda,5,LEXICON
da,diri1252,da,2,LEXICON
ŋguru,diri1252,Nguru,5,LEXICON
biga,diri1252,biga,4,LEXICON
kwina,diri1252,kwina,5,LEXICON
bora,diri1252,bora,4,LEXICON
βáŋgo,diri1252,baNgo,5,LEXICON
timinina,diri1252,timinina,8,LEXICON
kôka,diri1252,koka,4,LEXICON
pámpa,diri1252,pampa,5,LEXICON
tîndeka,diri1252,tindeka,7,LEXICON
kuŋkika,diri1252,kuNkika,7,LEXICON
ɣoɣana,diri1252,xoxana,6,LEXICON
vura,diri1252,vura,4,LEXICON
pakura,diri1252,pakura,6,LEXICON
korerera,diri1252,korerera,8,LEXICON
peperera,diri1252,peperera,8,LEXICON
βeruka,diri1252,beruka,6,LEXICON
geha,diri1252,geha,4,LEXICON
bu,diri1252,bu,2,LEXICON
βu,diri1252,bu,2,LEXICON
nîŋgwira,diri1252,niNgwira,8,LEXICON
kuŋga,diri1252,kuNga,5,LEXICON
fákata,diri1252,fakata,6,LEXICON
tumbira,diri1252,tumbira,7,LEXICON
pati,diri1252,pati,4,LEXICON
ruljo,diri1252,rulyo,5,LEXICON
kuro,diri1252,kuro,4,LEXICON
βaβa,diri1252,baba,4,LEXICON
ʝota,diri1252,Zota,4,LEXICON
diraka,diri1252,diraka,6,LEXICON
duka,diri1252,duka,4,LEXICON
gwe,diri1252,gwe,3,LEXICON
ŋgwa,diri1252,Ngwa,4,LEXICON
ʃeke,diri1252,Seke,4,LEXICON
ɣámba,diri1252,xamba,5,LEXICON
môna,diri1252,mona,4,LEXICON
buto,diri1252,buto,4,LEXICON
kwata,diri1252,kwata,5,LEXICON
mwene,diri1252,mwene,5,LEXICON
ɣulita,diri1252,xulita,6,LEXICON
tuma,diri1252,tuma,4,LEXICON
ntámbiri,diri1252,ntambiri,8,LEXICON
hônd͡ʒa,diri1252,honja,5,LEXICON
tôŋga,diri1252,toNga,5,LEXICON
ndundumba,diri1252,ndundumba,9,LEXICON
t͡ʃôni,diri1252,Coni,4,LEXICON
ɲáɲa,diri1252,5a5a,4,LEXICON
ʃenda,diri1252,Senda,5,LEXICON
d͡ʒwi,diri1252,jwi,3,LEXICON
kaβito,diri1252,kabito,6,LEXICON
pîndi,diri1252,pindi,5,LEXICON
káŋkama,diri1252,kaNkama,7,LEXICON
fupi,diri1252,fupi,4,LEXICON
pepe,diri1252,pepe,4,LEXICON
βeri,diri1252,beri,4,LEXICON
ʝîmba,diri1252,Zimba,5,LEXICON
táno,diri1252,tano,4,LEXICON
kôβa,diri1252,koba,4,LEXICON
wîru,diri1252,wiru,4,LEXICON
tôma,diri1252,toma,4,LEXICON
turo,diri1252,turo,4,LEXICON
dîdi,diri1252,didi,4,LEXICON
kaŋga,diri1252,kaNga,5,LEXICON
nuka,diri1252,nuka,4,LEXICON
ti,diri1252,ti,2,LEXICON
ʝôka,diri1252,Zoka,4,LEXICON
ɣona,diri1252,xona,4,LEXICON
dîraŋguŋgu,diri1252,diraNguNgu,10,LEXICON
ɣámba,diri1252,xamba,5,LEXICON
ɣoŋga,diri1252,xoNga,5,LEXICON
buto,diri1252,buto,4,LEXICON
ɣuβi,diri1252,xubi,4,LEXICON
tipa,diri1252,tipa,4,LEXICON
kaŋkara,diri1252,kaNkara,7,LEXICON
hána,diri1252,hana,4,LEXICON
dîraŋguŋgu,diri1252,diraNguNgu,10,LEXICON
kama,diri1252,kama,4,LEXICON
mjáŋga,diri1252,myaNga,6,LEXICON
didimika,diri1252,didimika,8,LEXICON
buŋgururu,diri1252,buNgururu,9,LEXICON
βaka,diri1252,baka,4,LEXICON
tôndo,diri1252,tondo,5,LEXICON
we,diri1252,we,2,LEXICON
ɣeni,diri1252,xeni,4,LEXICON
kôndo,diri1252,kondo,5,LEXICON
kôkoroka,diri1252,kokoroka,8,LEXICON
ɣodi,diri1252,xodi,4,LEXICON
